id;Раунд;Турнир (название);Турнир (формат);Турнир (город);Дата;Резолюция
174;Р18;ФЛД сезона 2011 г.;ТВ;Москва;2011.;ЭПСЧ деятельное раскаяние не является основанием для освобождения от уголовной ответственности
175;Р19;ФЛД сезона 2011 г.;ТВ;Москва;2011.;ЭП запретит уроки религии в школе
176;Р20;ФЛД сезона 2011 г.;ТВ;Москва;2011.;ЭП отменит суды присяжных в России
177;Р21;ФЛД сезона 2011 г.;ТВ;Москва;2011.;ЭПС недопустимым обжалование оправдательного приговора суда по инициативе прокуратуры
178;Р22;ФЛД сезона 2011 г.;ТВ;Москва;2011.;ЭП будет давать гражданство РФ всем детям, родившимся на территории РФ, вне зависимости от гражданства их родителей
179;Р23;ФЛД сезона 2011 г.;ТВ;Москва;2011.;ЭП увеличит пенсионный возраст
180;Р24;ФЛД сезона 2011 г.;ТВ;Москва;2011.;ЭП обяжет курильщиков самостоятельно платить за медицинское обслуживание
181;Р25;ФЛД сезона 2011 г.;ТВ;Москва;2011.;ЭП легализует изготовление и распространение порнографии
182;Р26;ФЛД сезона 2011 г.;ТВ;Москва;2011.;ЭП национализирует нефтедобывающие компании
183;Р27;ФЛД сезона 2011 г.;ТВ;Москва;2011.;ЭП запретит иностранцам служить в российской армии
184;Р28;ФЛД сезона 2011 г.;ТВ;Москва;2011.;ЭП запретит насилие в мультипликационных фильмах
185;ПФ;ФЛД сезона 2011 г.;ТВ;Москва;2011.;ЭП сделает накопительную часть пенсий добровольной
186;ПФ;ФЛД сезона 2011 г.;ТВ;Москва;2011.;ЭП разрешит эксперименты по репродуцированному клонированию человека
187;Игра за 3-е место;ФЛД сезона 2011 г.;ТВ;Москва;2011.;ЭПСЧ государство должно минимизировать распространение информации о терактах (в т.ч. не признавать факт теракта)
188;Ф;ФЛД сезона 2011 г.;ТВ;Москва;2011.;ЭПС необходимым исключить проблемные страны из еврозоны
189;Показат. игра;Игра вне турнира;Игра вне турнира;Москва;2012.01-07.;ЭП легализует короткоствольное оружие
190;Р1;II тур МЛЧ сезона 2011/2012;Для новичков;Москва;2012.02;ЭПСЧ Россия должна прекратить поддерживать Сирию в Совбезе ООН
191;Р2;II тур МЛЧ сезона 2011/2012;Для новичков;Москва;2012.02;ЭП разрешит матерям воспитывать детей в заключении (после трёхлетнего возраста) (Одна из трёх тем по жребию)
192;Р2;II тур МЛЧ сезона 2011/2012;Для новичков;Москва;2012.02;ЭП обяжет футбольные клубы проводить голосование среди фанатов (обязательное для исполнения) по важным вопросам, касающимся будущего клуба (Одна из трёх тем по жребию)
