id;Раунд;Турнир (название);Турнир (формат);Турнир (город);Дата;Резолюция
2121;Ф;Джедайский турнир ;Джедайский;Владивосток;2017.12;ЭП сделает основные киберспортивные дисциплины олимпийскими видами спорта
2122;Р1;Кубок Северной Столицы;Открытый;Санкт-Петербург;2017.12;ЭП легитимизирует вигилантов в районах с высоким уровнем преступности
2123;Р2;Кубок Северной Столицы ;Открытый;Санкт-Петербург;2017.12;ЭП как Россия жёстко и публично осудит решение Трампа по Иерусалиму
2124;Р3;Кубок Северной Столицы ;Открытый;Санкт-Петербург;2017.12;ЭП ограничит срок подачи заявления о преступлениях сексуального характера одним годом
2125;Р4;Кубок Северной Столицы ;Открытый;Санкт-Петербург;2017.12;ЭПСЧ европейские страны должны активно поддерживать (в том числе и финансово) и развивать мечети, возглавляемые женщинами-имамами
2126;Р5;Кубок Северной Столицы ;Открытый;Санкт-Петербург;2017.12;ЭПСЧ геи не должны делать ВИЧ каминг-аут в России
2127;ПФ;Кубок Северной Столицы ;Открытый;Санкт-Петербург;2017.12;ЭПСЧ мир будет лучше, если страны откажутся от идеи патриотизма
2128;Ф;Кубок Северной Столицы ;Открытый;Санкт-Петербург;2017.12;ЭП разрешит продавать новорожденных
2129;Р1;VIII кубок им. Ф. Плевако ;Открытый;Казань;2017.12;Эп сделает отдельные школы для ЛГБТК + детей
2130;Р2;VIII кубок им. Ф. Плевако ;Открытый;Казань;2017.12;"ЭПСЧ создание сильного искусственного интеллекта принесет больше вреда, чем пользы.
* Сильный искусственный интеллект - это ИИ, обладающий схожими или большими возможностями чем люди, включая умение размышлять, принимать независимые решения и ставить цели"
2131;Р3;VIII кубок им. Ф. Плевако ;Открытый;Казань;2017.12;ЭП, как Ким Чен Ын, откажется от разработки и свернет программу ядерного оружия в обмен на массированую гуманитарную помощь от США и Китая.
2132;ПФ;VIII кубок им. Ф. Плевако ;Открытый;Казань;2017.12;ЭП обяжет потребителей продуктов созданных с применением животных (мясо, одежда, косметика и т.д.) посещать реальные места их производства (скотобойни и т.д.)
2133;Ф;VIII кубок им. Ф. Плевако ;Открытый;Казань;2017.12;ЭП запретит использование частных адвокатов в уголовных делах
2134;Р1;Новогодний турнир ;Открытый;Владивосток;2017.12;"ЭП внедрит систему социального кредита.
* Система социального кредита объединяет разные показатели, чтобы составить рейтинг, отражающий вашу полезность для общества. Показатели включают, но не ограничиваются: законопослушность, общественно-полезная деятельность, политическая активность (например, голосование). Показатели контролируются для социально-экономического статуса. Высокий показатель социального кредита открывает расширенный доступ к государственным услугам, таким как социальное обеспечение, больницы, школы, а низкий приводит к наложению санкций, таких как повышение процента по кредиту, ограничение допуска к госслужбе etc. Система социального кредита по-прежнему гарантирует гражданам систему соцзащиты."
2135;Р2;Новогодний турнир ;Открытый;Владивосток;2017.12;"ЭП как житель СУАР предпочтёт жить в независимом государстве.
* Синьцзян-Уйгурский автономный район (СУАР) - регион на северо-западе Китая. Самая большая по площади территориально-административная единица КНР. Население СУАР преимущественно составляют уйгуры (мусульмане - 45%) и китайцы (не мусульмане - 40%)."
2136;Р3;Новогодний турнир ;Открытый;Владивосток;2017.12;"ЭП убьёт ребенка
* Правительственный эксперимент провалился, создав монстра внутри одиннадцатилетнего ребенка. Разум и тело ребенка чередуются между оригинальным телом и состоянием монстра. Ребенок не сохраняет воспоминаний о действиях, а также сознания в состоянии монстра. Попытки управлять/обратить процедуру провалились."
2137;Р4;Новогодний турнир ;Открытый;Владивосток;2017.12;"ЭП сожалеет о культуре слактивизма
* Слактивизм - форма гражданской активности, включающая в себя: взаимодействия в интернете (лайки, репосты, использование определенных хэштегов, петиции), покупку определенных товаров, распространение информации, направленной в поддержку того или иного вопроса или решения проблемы."
2138;Р5;Новогодний турнир ;Открытый;Владивосток;2017.12;ЭПСЧ военную борьбу против исламского терроризма должны вести исключительно ближневосточные страны
2139;Ф;Новогодний турнир ;Открытый;Владивосток;2017.12;ЭП поддерживает православную клерикализацию РФ
2140;Р1;Зимний Онлайн-турнир;Открытый (онлайн);Онлайн;2018.02;ЭП запретит СМИ публиковать информацию об образе жизни жертв насильственных преступлений
2141;Р2;Зимний Онлайн-турнир;Открытый (онлайн);Онлайн;2018.02;ЭП поддерживает программу выплат беженцам европейскими странами в обмен на их возвращение в родную страну
2142;Р3;Зимний Онлайн-турнир;Открытый (онлайн);Онлайн;2018.02;"ЭП поддерживает введение системы универсальных ваучеров в системе школьного образования
* Ваучер - предоставляемый государством ""купон"", с помощью которой семьи могут выбирать и оплачивать обучение в школах. Чаще всего используется для оплаты обучения в частных школах, но так же, по сути, может использоваться для обучения в государственной школе. Сумма обычно фиксированная и предоставляется с какой-то периодичностью (напр. семестр/месяц) Универсальный ваучер - ваучер, который предоставляется разным семьям для разных школ , без учета какого-то конкретного критерия (напр. бедность в случае с семьей/орг. форма школ или их направленность)"
2143;Р4;Зимний Онлайн-турнир;Открытый (онлайн);Онлайн;2018.02;ЭПСЧ западные страны должны участвовать в вооруженных конфликтах непосредственно, а не путём поддержки негосударственных группировок
2144;Р5;Зимний Онлайн-турнир;Открытый (онлайн);Онлайн;2018.02;ЭП как рохинджа будет выступать за независимое государство, а не гражданство и принятие в Мьянме
2145;ПФ;Зимний Онлайн-турнир;Открытый (онлайн);Онлайн;2018.02;ЭП как Католическая церковь будет вести активную политическую деятельность (включая посредничество в переговорах, публичную критику власти, поддержку и финансирование политических сил etc) в недемократических и особо слабых странах Африки.
2146;Ф;Зимний Онлайн-турнир;Открытый (онлайн);Онлайн;2018.02;ЭПСЧ заводить детей аморально
2147;Р1;ПолитЭк МГУ 2018 ;Открытый;Москва;2018.02;"ЭП  будет распространять режим коммерческой тайны только на ту информацию, которая существует/находится во «владении» компании/ИП менее 1 года 
* Коммерческая тайна – это режим конфиденциальности информации, позволяющий её обладателю (коммерческой компании или индивидуальному предпринимателю) ограничить доступ к ней третьим лицам (в т.ч. посредством судебной защиты в случае неправомерного доступа к этой информации или её использования)
В рамках данной резолюции мы считаем, что меры защиты персональных данных рядовых сотрудников, контрагентов и клиентов не подходит под определение «коммерческой тайны»
(законопроект не предполагает изменения режима защиты персональных данных)"
2148;Р2;ПолитЭк МГУ 2018 ;Открытый;Москва;2018.02;"ЭПСЧ страны с ярко-выраженным этническим и (или) религиозным делением должны использовать ливанскую модель распределения власти
* «Ливанская модель» (конфессионализм) – модель распределения власти, при которой все ветви (исполнительная, законодательная и т.п.) распределены между этносами/религиозным группами  
Например, в Ливане президентом страны должен быть христианин-маронит, премьер-министром — мусульманин-суннит, спикером парламента — мусульманин-шиит, а в правительстве должны быть поровну представлены христиане и мусульмане."
2149;Р3;ПолитЭк МГУ 2018 ;Открытый;Москва;2018.02;"ЭП (российский либерал) сожалеет о том, что Навальный организовал «забастовку избирателей», а не призвал голосовать за Явлинского и (или) Собчак
* «Забастовка избирателей» – протестная кампания, проводимая российским оппозиционером Алексеем Навальным. Данная кампания была запущена после того, как Навальный не был допущен к выборам Президента России, которые состоятся 18 марта 2018 года. Основная задача «забастовки избирателей» – призыв бойкотировать данные выборы."
2150;Р4;ПолитЭк МГУ 2018 ;Открытый;Москва;2018.02;ЭП (Африка) учредит в сжатые сроки зону, свободную от всех торговых пошлин, субсидий и других протекционистских мер
2151;Р5;ПолитЭк МГУ 2018 ;Открытый;Москва;2018.02;ЭП (ЕС) запретит компаниям, работающим и (или) зарегистрированным в ЕС, осуществлять любую деятельность на территории стран с высокими коррупционными рисками (включая деятельность через посредников и дистанционное оказание услуг)
2152;Ф;ПолитЭк МГУ 2018 ;Открытый;Москва;2018.02;ЭПСЧ все страны должны запретить любые операции с криптовалютой
2153;Р1;Зимний Турнир 2018 ;Открытый;Санкт-Петербург;2018.02;ЭП криминализует распространение ложной информации, которая может склонить женщин к отказу от аборта
2154;Р2;Зимний Турнир 2018 ;Открытый;Санкт-Петербург;2018.02;"ЭП запретит частные исследование и разработку технологии CRISPR-Cas9
* CRISPR-Cas9 – это биологическая технология, позволяющая редактировать геном организма посредством удаления, замены или добавления секций в последовательностях ДНК. Это позволит учёным манипулировать какие качества проявляются или нет в людях."
2155;Р3;Зимний Турнир 2018 ;Открытый;Санкт-Петербург;2018.02;"ЭП как Демократическая партия США примет платформу Берни Сандерса
* Основные тезисы платформы Берни Сандерса на президентских выборах 2016 в США включали следующие пункты:
- значительное увеличение налогов на богатых и сверхбогатых
- доступное здравоохранение для каждого
- поддержка доступной системы высшего образования
- усиление регуляции финансовых институтов, криминализация рискованных финансовых практик и привлечение к ответственности топ-менеджеров, предположительно виновных в кризисе 2008
- запрет «золотых парашютов» для госслужащих и свободного перехода между Уолл-стрит и руководящими постами в правительстве
- увеличение налогов с корпораций в результате закрытия лазеек в налоговом законодательстве и борьбы с оффшорами
- увеличение МРОТа с 7.25 до 15$/час"
2156;Р4;Зимний Турнир 2018 ;Открытый;Санкт-Петербург;2018.02;ЭП как ЛГБТ-сообщество публично осудит подростковые каминг-ауты
2157;Р5;Зимний Турнир 2018 ;Открытый;Санкт-Петербург;2018.02;"ЭП сожалеет о росте мегагородов
* Под мегагородом обычно понимается городская агломерация с численностью населения свыше 10 млн. человек. Примеры включают Токио (38,8 млн.), Джакарту (31,5) и др. По оценкам ООН, в 2030 году в мире будет 41 мегагород."
2158;ПФ;Зимний Турнир 2018 ;Открытый;Санкт-Петербург;2018.02;"ЭП обяжет открыто указывать цену всех товаров и услуг (кроме первой необходимости) в ""мёртвых детях""
* В целях этих дебатов спасение жизни одного ребёнка через благотворительное пожертвование стоит примерно 1000$. Стоимость ""в мёртвых детях"" - это цена товара / услуги, выраженная в количестве детских жизней, которое можно спасти за указанную сумму. Так, например, новый автомобиль может стоить 20 мёртвых детей, отдых за границей – 5 мёртвых детей, а новый дом – около 32."
2159;Ф;Зимний Турнир 2018 ;Открытый;Санкт-Петербург;2018.02;"ЭП (X) отдаст приказ нейтрализовать Y
* Нейтрализация для целей этих дебатов - это организация смерти в виде несчастного случая"
2160;Р1;2-й тур Сибирской лиги дебатов 2018 ;Открытый;Новосибирск;2018.02;ЭП разрешит свободную торговлю органами
2161;Р2;2-й тур Сибирской лиги дебатов 2018 ;Открытый;Новосибирск;2018.02;ЭПСЧ Зимбабве нужно ввести национальную криптовалюту
2162;Р3;2-й тур Сибирской лиги дебатов 2018 ;Открытый;Новосибирск;2018.02;"ЭП, как УЕФА, введет потолок зарплат в лигах ""большой пятерки"""
2163;Р4;2-й тур Сибирской лиги дебатов 2018 ;Открытый;Новосибирск;2018.02;"ЭП, как власти Северной Кореи, откажутся от агрессивной ядерной программы и пойдут на сближение с США
* Ким Чен Ын внезапно умирает. Его смерть ни у кого не вызывает подозрений"
2164;Р5;2-й тур Сибирской лиги дебатов 2018 ;Открытый;Новосибирск;2018.02;"ЭП сожалеет о культе личной эффективности.
* Культ личной эффективности - стремление человека использовать свое время максимально эффективно. Время при этом рассматривается как невосполнимый ресурс, который необходимо потратить с максимальной выгодой"
2165;ПФ;2-й тур Сибирской лиги дебатов 2018 ;Открытый;Новосибирск;2018.02;"ЭП сожалеет о «Эффекте Вайнштейна»
* Эффект Вайнштейна — феномен массовых частных публичных обвинений в сексуальных домогательствах и нападениях в адрес знаменитостей, за которыми следует реакция со стороны предприятий и учреждений. Получил название по имени американского продюсера Харви Вайнштейна, обвинения в адрес которого в октябре 2017 года вызвали волну «народного негодования» против сексуального насилия, как общественного явления. Что привело к целой череде скандалов и обвинений. Привело к стремительной отставке многих мужчин во властных структурах как Соединенных Штатов, так и других стран."
2166;Ф;2-й тур Сибирской лиги дебатов 2018 ;Открытый;Новосибирск;2018.02;"ЭП (Россия) будет закреплять исключительные права на изобретения, созданные с помощью федерального финансирования, за их авторами, а не за правительством.
* Под федеральным финансированием подразумеваются государственные гранты, под авторами - граждане и налоговые резиденты РФ. Речь не идет о государственном финансировании закрытых НИИ и государственных компаний."
2167;Р1;Оттепель ;Открытый;Пенза;2018.02;ЭП разрешит частным работодателям заключать срочные трудовые договоры во всех случаях
2168;Р2;Оттепель ;Открытый;Пенза;2018.02;"ЭП как феминистское движение должно активно проводить кампанию ""феминизм - это сексуально"" 
* «Феминизм – это сексуально» - акция, проведенная несколькими успешными в бизнесе женщинами, разделяющими феминистские убеждения. Участницы акции выкладывали фотографии, демонстрируя свою внешнюю привлекательность, рассказывали о своих убеждениях и своем карьерном пути и убеждали аудиторию в преимуществах феминистских идей."
2169;Р3;Оттепель ;Открытый;Пенза;2018.02;"ЭП считает ""Пояс и путь"" благом для человечества 
* «Пояс и путь» - китайский интеграционный проект, объединяющий основные товарные коридоры, идущие из Китая в Европу, Центральную и Переднюю Азию и Африку. На территории стран, охваченных проектом, проживает 63% населения Земли, предположительный экономический масштаб — 21 трлн долларов США.
Проект предполагает существенное снижение таможенных пошлин, использование инфраструктуры разных стран-участниц и широкое культурное сотрудничество. Единой валютой расчетов будет китайский юань, кредитование будет осуществляться китайскими банками. "
2170;Р4;Оттепель ;Открытый;Пенза;2018.02;ЭПСЧ родители имеют моральное право лгать своему несовершеннолетнему ребёнку о предполагаемых качествах его (её) партнёра по романтическим и (или) сексуальным отношениям, если они считают, что такие отношения могут причинить вред ребёнку
2171;Р5;Оттепель ;Открытый;Пенза;2018.02;ЭП приватизирует все государственные спортивные клубы в России
2172;Ф;Оттепель ;Открытый;Пенза;2018.02;ЭП отменит любые ограничения, связанные с распространением и потреблением табачной и алкогольной продукции, кроме возрастных и связанных с предотвращением вреда третьим лицам
2173;Р1;III Кубок Черноземья ;Открытый;Воронеж;2018.03;ЭП сожалеет о создании ядерного оружия
2174;Р2;III Кубок Черноземья ;Открытый;Воронеж;2018.03;ЭПСЧ стоит отказаться от проведения соревнований национальных сборных
2175;Р3;III Кубок Черноземья ;Открытый;Воронеж;2018.03;ЭПСЧ международные НКО не должны сотрудничать и помогать авторитарным режимам и их населению
2176;Р4;III Кубок Черноземья ;Открытый;Воронеж;2018.03;ЭП сделает обязательным участие кандидатов в президенты России в дебатах
2177;Р5;III Кубок Черноземья ;Открытый;Воронеж;2018.03;ЭП сожалеет об отмене ограничений на время пребывания у власти лидера Китая
2178;ПФ;III Кубок Черноземья ;Открытый;Воронеж;2018.03;ЭП обяжет свидетельствовать против себя и своих близких родственников
2179;Ф;III Кубок Черноземья ;Открытый;Воронеж;2018.03;ЭП как сторонник Навального не будет принимать участие в несогласованной протестной акции Навального
2180;Р1;Кубок УрГПУ 2018 ;Открытый;Екатеринбург;2018.03;ЭПСЧ от черного юмора больше вреда, чем пользы
2181;Р2;Кубок УрГПУ 2018 ;Открытый;Екатеринбург;2018.03;ЭПСЧ стоит наказывать владельцев общественных заведений (бары, клубы,ночные клубы и т.д.) за сексуальные домогательства, от которых пострадали их посетители
2182;Р3;Кубок УрГПУ 2018 ;Открытый;Екатеринбург;2018.03;ЭП сожалеет о романтизации работы в стартапе
2183;Р4;Кубок УрГПУ 2018 ;Открытый;Екатеринбург;2018.03;ЭПСЧ консалтинговые компании, которые оказывают услуги диктаторам и авторитарным лидерам, имеют моральное обязательство саботировать их. 
2184;Р5;Кубок УрГПУ 2018 ;Открытый;Екатеринбург;2018.03;ЭПСЧ престижные галереи искусства, которые таргетируют богатых людей, приносят сфере искусства больше вреда, чем пользы.
2185;ПФ;Кубок УрГПУ 2018 ;Открытый;Екатеринбург;2018.03;"ЭП поддерживает распространение ""Sharing culture"" (культуры, которая побуждает людей часто делиться деталями событий из своей повседневной и личной жизни в социальных сетях и активно комментировать подобноого рода посты других людей)"
2186;Ф;Кубок УрГПУ 2018 ;Открытый;Екатеринбург;2018.03;"ЭП предпочтёт жить в мире без концепции «верь в свое предназначение»
* Предназначение - определённый жизненный путь человека (смысл существования) "
2187;Р1;Пиратский турнир ;Открытый;Владивосток;2018.03;"ЭП введёт экономические санкции против Таиланда за отсутствие борьбы с рабским трудом
* Таиланд - один из мировых лидеров по лову рыбы, большая часть которой поступает в ЕС и США. Последние 15 лет появляются многочисленные свидетельства массового использования рабов. Люди проводят в море по несколько месяцев, работая по 20 часов в день и подвергаясь постоянному физическому насилию. Военное правительство, пришедшее к власти в результате переворота 2014 (выборы планируются в 2019), приняло закон по борьбе с рабским трудом, однако, например, за 2015 год не было зарегистрировано ни одного его нарушения."
2188;Р2;Пиратский турнир ;Открытый;Владивосток;2018.03;"ЭП, как российский предприниматель, воспользуется амнистией капитала
* 9 февраля 2018 года нижняя палата российского парламента приняла пакет проектов законов об амнистии капитала, которая начинается 2 марта 2018 года и завершается 28 февраля 2019 года. В указанный период можно будет подать соответствующие специальные декларации с указанием своего зарубежного имущества или компаний, ценные бумаги, денежные средства. Предпологается освобождение декларантов от ответственности за нарушения налогового и валютного законодательства, но не освобождает от ответственности за иные преступления (мошенничество, незаконная предпринимательская деятельность, легализация средств, полученных преступным путем)."
2189;Р3;Пиратский турнир ;Открытый;Владивосток;2018.03;ЭП, как президент Южной Кореи, будет проводить политику сближения с Северной Кореей (выстраивание дружеских отношений вплоть до обсуждения возможного объединения двух Корей)
2190;Р4;Пиратский турнир ;Открытый;Владивосток;2018.03;ЭП, как Израиль, будет оказывать активную помощь оппозиции в Иране
2191;Р5;Пиратский турнир ;Открытый;Владивосток;2018.03;ЭП, как представитель республиканской партии, проголосует за импичмент Д. Трампа
2192;Ф;Пиратский турнир ;Открытый;Владивосток;2018.03;ЭП, как США, будет активно выступать против Китая в Южно-Китайском море
2193;Р1;IV Таллиннский Открытый Кубок ;Открытый;Таллин (Эстония);2018.03;ЭПСЧ беднейшие страны Африки должны принять английский как основной язык обучения в школах
2194;Р2;IV Таллиннский Открытый Кубок ;Открытый;Таллин (Эстония);2018.03;ЭП сожалеет о нарративе, что прощение – это добродетель
2195;Р3;IV Таллиннский Открытый Кубок ;Открытый;Таллин (Эстония);2018.03;"ЭП поддерживает ""лимит на легионеров"" во всех командных видах спорта
* Лимит на легионеров – это правило в командных видах спорта, согласно которому в игре должно находиться определенное количество отечественных игроков. Например: В РФПЛ разрешено иметь не менее 5 игроков с российским гражданством; в странах, где есть лимит на легионеров, количество разное, но примерно 25-50% от общего количества игроков"
2196;Р4;IV Таллиннский Открытый Кубок ;Открытый;Таллин (Эстония);2018.03;"ЭП сожалеет о дерегуляции финансовой системы

* С начала 1980-х США, Великобритания, а позже другие развитые страны смягчали требования в сфере финансовой деятельности. Конкретные послабления включали следующие пункты:
- Смягчение требований к соотношению активов и долгов банков;
- Отмена ограничений на уровень процентов, которые могут взимать кредиторы;
- Смягчение требований на виды активов, которыми имеют право владеть различные финансовые компании (банки, пенсионные фонды и прочие);
- Смягчение контроля над движением денег и активов.

Этот процесс (дерегуляция финансовой системы) привёл к следующим структурным изменениям:
- Увеличение прибыльности финансового сектора;
- Бо́льшая доступность для взаимодействия финансистов разных стран;
- Появление сложных финансовых инструментов разной степени доходности;
- Увеличение рисков возникновения нестабильности в финансовой системе."
2197;Р5;IV Таллиннский Открытый Кубок ;Открытый;Таллин (Эстония);2018.03;"ЭПСЧ ""гламуризация"" феминизма наносит движению больше вреда [, чем пользы]
* Гламуризация – такое представление явления в СМИ и массовой культуре, при котором оно предстаёт в своём упрощённом и приукрашенном виде с целью придания привлекательности, иногда романтизации"
2198;ПФ;IV Таллиннский Открытый Кубок ;Открытый;Таллин (Эстония);2018.03;ЭП сожалеет о нарративе self-made person
2199;Ф;IV Таллиннский Открытый Кубок ;Открытый;Таллин (Эстония);2018.03;ЭПСЧ Католическая Церковь должна отказаться от принципа безошибочности Пап
2200;Р1;IV ОТ СПбГУ ;Открытый;Санкт-Петербург;2018.03;ЭП сожалеет о социальной рекламе, где демонизируется образ наркомана
2201;Р2;IV ОТ СПбГУ ;Открытый;Санкт-Петербург;2018.03;ЭП будет субсидировать компании, которые откажутся от перехода грузоперевозок на автономные автомобили
2202;Р3;IV ОТ СПбГУ ;Открытый;Санкт-Петербург;2018.03;"ЭП сожалеет о решении Трампа об отказе финансировать NASA и МКС
* В проекте бюджета на 2019 финансовый год администрация президента США Дональда Трампа предложила прекратить государственное финансирование Международной космической станции (МКС) к 2025 году.
Таким образом, Штаты намереваются сэкономить, заменив государственную программу на частные проекты. «После этого NASA будет рассчитывать на коммерческих партнеров для исследований на низкой околоземной орбите и испытания технологий».
Кроме того, проект бюджета предлагает перейти от государственного финансирования принадлежащей NASA системы телекоммуникационных спутников и связанных с ними наземных станций. «Вместо этого предлагается опираться на возможности коммерческих телекоммуникационных аппаратов»."
2203;Р4;IV ОТ СПбГУ ;Открытый;Санкт-Петербург;2018.03;ЭП сожалеет о росте популярности в массовой культуре женщин-супергероинь
2204;Р5;IV ОТ СПбГУ ;Открытый;Санкт-Петербург;2018.03;ЭП сожалеет о распространении криптовалют
2205;ПФ;IV ОТ СПбГУ ;Открытый;Санкт-Петербург;2018.03;"ЭПСЧ все ядерные державы должны отказаться от использования данной системы
* Система «Мёртвая рука» — комплекс автоматического управления массированным ответным ядерным ударом, созданный в СССР в разгар холодной войны и используемый Россией до сих пор. Предназначен для гарантированного доведения боевых приказов от высших звеньев управления (Генеральный штаб Вооружённых сил, Управление РВСН) до командных пунктов и отдельных пусковых установок стратегических ракет, стоящих на боевом дежурстве, в случае чрезвычайного положения, когда линии связи могут быть повреждены. В США существовал похожий по предназначению комплекс передачи приказа о запуске (ERCS). Комплекс был деактивирован в 1991 году
Подобные системы весьма вероятно существуют также в Китае, Северной Корее и других странах третьего мира"
2206;Ф;IV ОТ СПбГУ ;Открытый;Санкт-Петербург;2018.03;ЭПСЧ государство не должно финансировать СМИ
2207;Р1;VI Императорский диспут ;Открытый;Томск;2018.03;"ЭП разрешить деятельность ""охотников за головами""
* Агент по залоговому правоприменению или по-другому ""охотник за головами"" - лицо за денежное вознаграждение, занимающееся розыском и поимкой беглых преступников и дезертиров, а также лиц, подозреваемых в совершении преступлений и не явившихся на судебное заседание в назначенное время"
2208;Р2;VI Императорский диспут ;Открытый;Томск;2018.03;"ЭП будет распределять выпускников из детских домов на государственную службу
* Государственная/бюджетная служба — это деятельность в государственных службах, направленная на благо общества. Например: сотрудники муниципальной власти, МЧС, сотрудники Почты России, сотрудники социальных служб"
2209;Р3;VI Императорский диспут ;Открытый;Томск;2018.03;ЭПСЧ феминистическое движение должно бороться с социальной нормой, стигматизирущей оплату сексуальных услуг
2210;Р4;VI Императорский диспут ;Открытый;Томск;2018.03;"ЭП одобряет райдер инклюзивности
* Вот вам два слова напоследок, Дамы и Господа: Райдер Инклюзивности (с) Фрэнсис Макдорманд
Райдер инклюзивности — модель райдера в Голливуде, при котором известнейшие звёзды кино должны включать в свой райдер представителей разных меньшинств. Это предполагает под собой установление равного времени для мужчин и женщин, определённое количество времени для этнических, сексуальных и других меньшинств"
2211;Р5;VI Императорский диспут ;Открытый;Томск;2018.03;ЭПСЧ от деятельности ТНК больше вреда, чем пользы
2212;ПФ;VI Императорский диспут ;Открытый;Томск;2018.03;"ЭП, как Россия, поддержит генерала Хасан Сухейла
* Бригада «Силы Тигра» – элитное подразделение Сирийской Арабской Армии (САА), возглавляемое бригадным генералом Хасан Сухейлом, является основной ударной силой в борьбе с ИГ и оппозицией (по факту – единственным боеспособным формированием ССА). Формально являясь частью САА, генерал Сухейль не подчиняется Сирийскому командованию и напрямую сотрудничает с ВКС РФ. Для эффективного ведения боевых действий генерал Сухейль организует новые боевые соединения из подчинённых ему офицеров. Имеет весовый авторитет в САА. Предполагается, что Хасан Сухейль может стать новым лидером Сирии.
Башар Асад – ненышний лидер Сирии и представитель алавитов (религиозного меньшинства Сирии). Считается, что в нынешней ситуации он способен договориться с оппозицией. В то время, как сирийские военные радикально настроены против оппозиционных сил."
